site_no,station_nm,dec_lat_va,dec_long_va,begin_date,end_date,drain_area_va,sd_count
01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",41.9873186,-72.6053669,2020-09-17,2023-09-17,9660,232
01648010,"ROCK CREEK AT JOYCE RD WASHINGTON, DC",38.96016667,-77.0420556,2015-11-24,2019-02-24,63.7,107
02326526,WACISSA RIVER NR WACISSA FLA,30.3013159,-83.9796085,2016-02-17,2023-09-17,NA,171
02319302,"MADISON BLUE SPRING NR BLUE SPRINGS, FL",30.48049106,-83.2443097,2014-07-09,2023-09-17,NA,248
02323566,MANATEE SPRING NR CHIEFLAND FLA,29.4896808,-82.976791,2014-07-02,2023-09-17,NA,251
02322700,"ICHETUCKNEE R @ HWY27 NR HILDRETH, FL",29.95273288,-82.7859573,2016-11-15,2023-09-17,213,631
02322688,"BLUE HOLE SPRING NR HILDRETH, FL",29.9799552,-82.758457,2014-07-02,2021-10-27,NA,169
13095175,BRIGGS SPRING AT HEAD NEAR BUHL ID,42.67388889,-114.8091667,2019-03-12,2023-09-17,NA,278
05446500,"ROCK RIVER NEAR JOSLIN, IL",41.5561111,-90.1852778,2015-06-26,2023-09-17,9549,397
05447500,"GREEN RIVER NEAR GENESEO, IL",41.4889333,-90.1580083,2015-06-26,2023-09-17,1003,437
05554300,"INDIAN CREEK NEAR FAIRBURY, IL",40.72277778,-88.53,2011-09-13,2023-09-17,67.5,63
03343820,"KICKAPOO CREEK AT 1320E ROAD NR CHARLESTON, IL",39.465,-88.2302778,2013-05-24,2016-10-14,27.7,63
03336890,"SPOON RIVER NEAR ST. JOSEPH, IL",40.16419444,-88.0275,2013-05-25,2023-09-17,40.7,66
03346500,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",38.72380556,-87.6643611,2015-09-11,2023-09-17,2333,211
03339000,"VERMILION RIVER NEAR DANVILLE, IL",40.1010833,-87.5976111,2014-12-19,2023-09-17,1290,577
03378500,"WABASH RIVER AT NEW HARMONY, IN",38.130879,-87.941419,2019-09-03,2023-09-17,29234,251
03374100,"WHITE RIVER AT HAZLETON, IN",38.4897695,-87.55002269,2012-05-18,2023-09-17,11305,224
05518000,"KANKAKEE RIVER AT SHELBY, IN",41.1828134,-87.3403096,2015-12-05,2023-09-17,1779,736
05517500,"KANKAKEE RIVER AT DUNNS BRIDGE, IN",41.2200392,-86.968356,2016-04-13,2023-07-06,1352,620
05515500,"KANKAKEE RIVER AT DAVIS, IN",41.38963889,-86.7061667,2013-12-05,2023-09-17,542,352
