stage_ft,Q_cfs,site_no,type
31.28,819000,07374000,raw
30.13,785000,07374000,raw
25.94,614000,07374000,raw
28.14,688000,07374000,raw
27.82,679000,07374000,raw
26.8,643000,07374000,raw
19.64,496000,07374000,raw
28.68,701000,07374000,raw
30.08,734000,07374000,raw
22.3,528000,07374000,raw
11.47,323000,07374000,raw
10.64,288000,07374000,raw
8.73,262000,07374000,raw
22.58,554000,07374000,raw
33.58,966000,07374000,raw
37.73,1100000,07374000,raw
38.2,1110000,07374000,raw
38.56,1170000,07374000,raw
21.1,509000,07374000,raw
28.2,685000,07374000,raw
30.37,759000,07374000,raw
25.8,614000,07374000,raw
21.5,537000,07374000,raw
11.33,323000,07374000,raw
15.86,402000,07374000,raw
9.8,287000,07374000,raw
14.62,386000,07374000,raw
9.7,275000,07374000,raw
5.74,192000,07374000,raw
9.98,276000,07374000,raw
6.48,208000,07374000,raw
4.95,167000,07374000,raw
7.51,235000,07374000,raw
22.14,578000,07374000,raw
24.64,752000,07374000,raw
20.18,510000,07374000,raw
9.66,289000,07374000,raw
19.46,488000,07374000,raw
16.72,442000,07374000,raw
21.32,544000,07374000,raw
14.13,416000,07374000,raw
11.69,328000,07374000,raw
7.44,236000,07374000,raw
7.01,227000,07374000,raw
4.86,166000,07374000,raw
5.11,175000,07374000,raw
10.29,299000,07374000,raw
17.01,428000,07374000,raw
31.75,880000,07374000,raw
15.18,385000,07374000,raw
24.86,619000,07374000,raw
23.91,599000,07374000,raw
25.45,624000,07374000,raw
26.61,652000,07374000,raw
24.72,598000,07374000,raw
15.27,395000,07374000,raw
15.25,405000,07374000,raw
18.76,490000,07374000,raw
10.21,299000,07374000,raw
7.8,246000,07374000,raw
9.86,293000,07374000,raw
7.8,238000,07374000,raw
14.47,398000,07374000,raw
17.87,462000,07374000,raw
15.85,434000,07374000,raw
30.63,852000,07374000,raw
28.26,770000,07374000,raw
32,928000,07374000,raw
33.5,931000,07374000,raw
35.79,1030000,07374000,raw
37.42,1110000,07374000,raw
39.48,1180000,07374000,raw
40.86,1230000,07374000,raw
41.47,1220000,07374000,raw
41.99,1240000,07374000,raw
42.34,1260000,07374000,raw
43.31,1310000,07374000,raw
43.38,1340000,07374000,raw
40.78,1160000,07374000,raw
35.86,956000,07374000,raw
34.67,942000,07374000,raw
34.2,926000,07374000,raw
30.72,755000,07374000,raw
30.57,744000,07374000,raw
30.28,741000,07374000,raw
16.92,434000,07374000,raw
15.42,400000,07374000,raw
9.75,288000,07374000,raw
7.44,229000,07374000,raw
7.02,219000,07374000,raw
24.48,632000,07374000,raw
14.16,376000,07374000,raw
18.42,474000,07374000,raw
23.28,595000,07374000,raw
20.62,521000,07374000,raw
30.39,812000,07374000,raw
29.84,745000,07374000,raw
38.35,1080000,07374000,raw
40.92,1160000,07374000,raw
33.63,855000,07374000,raw
15.68,396000,07374000,raw
18.8,475000,07374000,raw
19.97,505000,07374000,raw
28.71,722000,07374000,raw
30.28,820000,07374000,raw
33.8,963000,07374000,raw
25.93,625000,07374000,raw
26.03,642000,07374000,raw
32.69,882000,07374000,raw
29.53,727000,07374000,raw
22.52,549000,07374000,raw
32.63,847000,07374000,raw
34.33,908000,07374000,raw
25.82,598000,07374000,raw
21.73,525000,07374000,raw
10.6,280000,07374000,raw
13.45,358000,07374000,raw
9.7,269000,07374000,raw
10.33,300000,07374000,raw
26.48,681000,07374000,raw
32.84,909000,07374000,raw
35.24,972000,07374000,raw
29.49,745000,07374000,raw
35.25,975000,07374000,raw
41.28,1220000,07374000,raw
43.6,1370000,07374000,raw
45.05,1410000,07374000,raw
45.21,1410000,07374000,raw
45.35,1440000,07374000,raw
44.88,1420000,07374000,raw
44.51,1380000,07374000,raw
44.13,1340000,07374000,raw
41.88,1230000,07374000,raw
35.42,925000,07374000,raw
30.75,741000,07374000,raw
15.19,388000,07374000,raw
6.54,216000,07374000,raw
24.47,596000,07374000,raw
23.59,541000,07374000,raw
29.89,775000,07374000,raw
17.8,429000,07374000,raw
29.02,725000,07374000,raw
31.58,804000,07374000,raw
22.37,518000,07374000,raw
16.19,396000,07374000,raw
18,448000,07374000,raw
7.25,218000,07374000,raw
4.24,153000,07374000,raw
4.73,152000,07374000,raw
4.83,159000,07374000,raw
19.55,504000,07374000,raw
26.64,648000,07374000,raw
21.52,541000,07374000,raw
25.41,619000,07374000,raw
25.68,633000,07374000,raw
33.43,891000,07374000,raw
35.32,972000,07374000,raw
33.76,888000,07374000,raw
32.97,837000,07374000,raw
16.38,433000,07374000,raw
8.3,262000,07374000,raw
12.7,341000,07374000,raw
24.74,598000,07374000,raw
16.35,404000,07374000,raw
23.36,588000,07374000,raw
23.37,564000,07374000,raw
21.9,518000,07374000,raw
32.3,851000,07374000,raw
24.56,603000,07374000,raw
27.43,659000,07374000,raw
27.29,638000,07374000,raw
25.39,605000,07374000,raw
20.42,492000,07374000,raw
9.59,281000,07374000,raw
15.56,416000,07374000,raw
11.43,316000,07374000,raw
22.22,553000,07374000,raw
11.38,315000,07374000,raw
22.86,580000,07374000,raw
35.95,1010000,07374000,raw
32.94,872000,07374000,raw
34.96,918000,07374000,raw
27.55,664000,07374000,raw
30.82,760000,07374000,raw
32.73,817000,07374000,raw
37.25,966000,07374000,raw
34.71,856000,07374000,raw
7.87,219000,07374000,raw
28.03,715000,07374000,raw
